c_1_r,c_1_g,c_1_b,c_2_r,c_2_g,c_2_b,c_3_r,c_3_g,c_3_b,c_4_r,c_4_g,c_4_b,c_5_r,c_5_g,c_5_b,style
253,254,251,150,183,33,54,115,54,254,252,254,243,250,243,fresh
178,217,244,82,179,245,235,229,219,236,241,240,182,168,146,fresh
229,229,227,191,230,220,229,216,234,154,222,219,218,222,233,fresh
201,232,208,114,197,132,154,214,167,45,171,73,21,153,62,fresh
245,244,242,159,186,113,112,160,78,130,173,103,243,238,242,fresh
254,219,0,243,230,214,253,215,21,227,160,93,227,170,6,fresh
171,236,222,139,222,208,235,134,96,241,64,91,118,203,187,fresh
195,137,108,191,99,82,229,234,241,147,95,76,245,224,187,fresh
252,251,245,240,248,240,137,179,122,252,245,250,13,38,10,fresh
228,224,221,9,93,202,215,218,217,183,163,144,207,219,235,fresh
197,3,106,223,61,128,204,31,116,248,188,195,235,119,149,fresh
40,34,38,171,69,22,46,28,13,206,163,125,226,203,178,fresh
226,214,204,201,167,139,141,82,45,74,33,18,224,225,228,fresh
231,165,87,42,21,13,214,210,200,244,188,116,84,103,118,fresh
232,231,223,217,225,220,217,226,237,176,166,138,12,28,53,fresh
248,248,243,87,179,67,230,249,224,117,186,102,251,245,249,fresh
231,240,187,202,217,131,204,233,196,123,186,137,168,188,94,fresh
252,215,76,248,235,181,72,170,44,240,178,38,58,140,30,fresh
254,254,253,240,251,239,254,252,254,136,204,99,6,113,12,fresh
188,231,234,193,233,232,138,221,226,242,239,236,98,195,200,fresh
254,254,253,238,248,244,254,251,253,140,172,156,61,113,87,fresh
28,28,28,88,88,91,38,38,40,80,80,80,231,231,231,fresh
254,254,251,230,223,88,244,252,245,254,251,254,25,22,11,fresh
225,221,215,145,151,157,178,175,171,144,139,142,159,171,165,fresh
187,229,243,116,195,222,139,211,233,45,123,156,68,147,176,fresh
196,171,120,233,225,204,141,163,50,209,203,137,117,121,47,fresh
253,254,249,63,92,79,245,249,248,254,252,253,120,161,20,fresh
246,251,220,199,234,84,135,203,13,76,182,7,172,222,17,fresh
221,239,251,254,254,254,105,179,220,17,120,175,243,253,251,fresh
225,232,237,117,171,209,245,245,245,239,242,241,52,118,170,fresh
228,228,228,218,223,227,227,231,230,159,177,188,5,114,207,fresh
254,254,253,238,251,236,254,251,254,136,198,107,8,111,13,fresh
188,235,253,138,182,27,101,193,246,194,226,66,124,213,252,fresh
195,226,245,17,118,195,98,169,221,246,245,243,223,161,95,fresh
193,231,248,220,220,220,92,171,225,3,38,79,31,104,172,fresh
197,165,115,210,222,106,238,232,185,149,181,27,127,106,46,fresh
238,235,238,62,115,79,232,223,217,16,89,57,3,66,42,fresh
254,254,254,244,254,253,204,239,250,91,189,223,254,252,254,fresh
186,229,249,110,176,215,55,128,179,144,204,234,69,141,184,fresh
252,253,245,120,160,15,65,93,78,244,249,246,254,252,254,fresh
249,249,247,252,241,248,247,252,249,249,250,253,238,172,40,fresh
229,228,218,232,215,85,209,226,239,234,157,60,95,167,233,fresh
239,235,225,175,172,132,135,149,81,221,204,138,120,123,100,fresh
242,242,242,119,164,32,241,241,246,84,135,15,236,241,236,fresh
207,233,240,192,216,143,216,233,213,144,192,120,209,224,179,fresh
253,254,249,243,252,239,254,251,254,250,251,254,190,217,122,fresh
201,232,236,221,244,235,132,231,139,100,207,89,196,229,85,fresh
13,111,174,75,188,214,36,162,199,3,70,153,180,231,248,fresh
155,180,199,32,36,47,194,210,222,76,90,107,206,162,139,business
222,231,238,35,35,46,82,89,107,133,161,187,188,155,147,business
53,111,139,10,41,59,101,150,177,63,147,177,189,153,139,business
223,230,237,27,51,61,144,164,181,77,100,122,221,216,213,business
232,221,216,221,222,226,228,221,223,224,240,238,187,152,137,business
212,212,211,34,7,85,33,101,209,65,84,211,213,215,224,business
254,208,82,253,152,20,253,148,0,253,220,158,253,166,142,business
231,117,106,209,218,211,79,54,49,67,48,42,116,92,81,business
195,176,126,237,218,194,144,139,193,216,195,151,234,242,232,business
164,142,124,131,105,93,233,224,208,59,51,44,230,206,142,business
223,211,197,195,168,139,41,39,48,209,210,215,216,192,160,business
253,254,252,195,210,109,254,253,254,133,148,65,169,175,129,business
14,61,138,250,132,29,254,253,251,249,77,38,249,136,2,business
221,221,220,40,104,170,232,52,100,234,132,67,37,167,195,business
235,234,234,233,64,108,98,66,234,171,42,167,240,225,234,business
242,241,238,14,22,28,245,248,246,224,228,231,113,81,64,business
231,215,206,34,43,46,189,156,131,111,95,86,39,47,45,business
26,15,8,228,221,208,189,161,134,123,90,64,222,224,229,business
232,225,220,207,217,225,186,175,163,156,169,183,40,36,30,business
229,238,243,21,32,43,236,228,223,183,155,137,68,89,101,business
231,234,239,231,218,212,202,156,141,231,234,233,82,107,123,business
240,231,223,236,241,245,22,40,54,56,91,114,200,158,130,business
254,253,252,115,232,229,244,252,251,9,146,156,3,71,103,business
214,213,213,24,48,142,51,82,169,215,225,233,64,103,201,business
248,249,252,251,250,247,248,253,251,252,249,252,11,24,62,business
129,91,63,185,150,125,58,36,21,225,229,234,15,21,29,business
205,216,222,162,181,192,232,230,226,211,175,95,233,239,237,business
253,250,247,246,252,250,252,249,252,101,84,77,239,245,248,business
254,253,251,210,219,226,249,253,252,59,102,140,126,156,181,business
253,252,251,247,253,252,229,239,243,78,100,112,253,250,252,business
110,97,85,216,220,229,183,149,130,73,85,93,33,51,56,business
204,217,229,13,24,36,157,170,187,35,105,155,125,88,76,business
236,227,211,193,156,128,128,100,88,99,80,87,73,76,87,business
176,168,160,115,92,76,53,47,43,203,196,190,42,45,44,business
231,225,220,207,216,224,187,176,164,156,169,183,40,36,30,business
221,229,235,248,245,242,13,29,47,150,171,183,61,98,125,business
213,214,221,233,224,209,160,165,180,179,160,134,27,34,49,business
244,240,230,218,230,240,178,157,140,142,165,182,81,100,115,business
249,249,248,20,26,39,239,242,241,228,231,235,87,92,99,business
152,172,169,231,226,212,33,41,60,77,96,107,146,165,167,business
208,210,213,40,50,107,3,192,240,124,162,193,249,246,244,business
240,238,226,37,21,17,24,25,29,117,84,71,182,161,142,business
152,211,191,254,254,253,5,31,93,243,251,249,254,252,254,business
248,247,245,86,92,104,230,235,240,175,161,147,105,87,75,business
242,241,241,225,240,247,115,171,229,245,250,249,247,244,246,business
246,240,235,143,79,48,49,28,17,200,154,113,232,237,240,business
169,168,168,37,44,60,224,222,221,148,160,184,206,214,223,business
222,229,233,235,233,228,232,236,235,129,96,74,181,155,126,business
253,251,251,251,236,238,249,253,251,179,165,152,247,171,177,cute
254,238,181,72,71,118,122,78,43,108,157,216,64,29,10,cute
133,134,139,207,209,212,127,126,132,215,207,202,226,205,217,cute
254,252,249,241,250,248,250,244,247,246,249,251,174,164,172,cute
199,223,231,245,213,220,155,191,205,247,237,233,166,201,212,cute
1,153,145,245,230,220,51,49,46,208,7,46,230,117,16,cute
252,231,63,248,217,1,183,166,14,238,227,186,205,181,87,cute
150,155,166,94,99,110,31,38,44,100,92,96,203,206,217,cute
228,224,228,235,233,239,218,156,99,53,99,136,41,28,21,cute
108,81,71,61,38,32,177,148,140,87,54,44,13,27,37,cute
189,157,135,52,33,18,121,90,66,223,207,195,60,100,127,cute
223,213,206,189,160,139,128,95,71,223,225,230,224,219,222,cute
240,239,244,242,239,243,149,167,151,236,232,220,171,168,132,cute
30,18,9,199,155,116,126,91,58,228,207,185,0,0,3,cute
226,222,216,222,216,217,193,165,139,98,123,32,69,115,37,cute
157,200,235,248,237,245,135,166,216,158,195,233,201,127,160,cute
253,251,246,234,248,242,252,239,246,249,227,103,241,247,251,cute
252,189,207,226,126,158,246,224,218,236,168,187,223,253,250,cute
254,237,243,248,239,233,232,251,247,169,155,140,127,109,77,cute
246,243,225,187,234,247,247,232,241,239,157,197,241,246,244,cute
252,249,244,237,247,245,211,165,94,252,242,244,229,171,18,cute
246,238,217,94,181,71,239,210,54,208,31,49,178,20,35,cute
218,231,183,202,208,139,196,163,127,117,93,74,64,43,27,cute
253,224,181,221,167,117,252,152,163,176,244,200,247,197,219,cute
183,234,250,176,182,230,251,246,226,242,251,248,250,235,240,cute
252,251,251,253,212,221,250,253,252,248,249,251,70,69,74,cute
253,252,249,251,222,223,216,228,238,248,253,252,163,159,150,cute
89,189,197,245,235,186,206,232,237,101,189,182,214,235,229,cute
254,254,253,253,247,249,248,253,252,175,158,113,232,244,247,cute
253,228,238,249,243,224,115,91,73,182,161,144,233,245,233,cute
251,225,209,243,221,240,253,221,110,205,243,237,60,57,59,cute
238,160,166,247,194,198,248,231,227,220,159,166,229,168,167,cute
184,176,166,251,245,235,241,251,248,210,132,155,252,243,247,cute
250,236,230,248,225,239,253,214,112,199,242,237,235,243,248,cute
227,227,241,252,242,241,252,235,241,249,253,252,160,160,160,cute
254,253,250,253,227,243,193,240,250,246,253,250,250,231,99,cute
243,235,231,119,185,169,237,123,117,229,238,235,241,235,238,cute
253,242,235,252,214,85,250,254,253,240,244,247,254,252,254,cute
102,192,198,248,216,67,105,192,190,236,250,248,251,206,0,cute
245,230,182,207,151,96,110,84,55,65,46,18,214,195,147,cute
212,243,234,250,237,228,252,202,210,135,223,218,93,207,202,cute
251,251,241,207,244,225,210,214,126,119,225,185,85,214,168,cute
163,128,188,249,205,221,252,248,231,184,237,250,216,249,243,cute
250,249,248,250,226,228,248,252,250,247,247,249,cute
254,254,254,252,235,243,249,254,253,225,240,247,215,132,161,cute
241,239,231,193,226,230,206,232,229,105,188,195,240,235,237,cute
251,229,225,249,214,227,237,248,241,226,228,236,183,175,173,cute
253,209,206,252,211,215,228,169,70,189,231,247,250,158,191,cute
